Sno,Name of Station,Wheeler,Address,Phone no.,Charging types,Timings,Pincode
62,Bolt.Earth Charging Station,"2-Wheeler,3-Wheeler,4-Wheeler"," Kanchi Residency, Sahithi Nagar, Dilsukhnagar, Hyd",8045688448,_,10:30-20:00,500060
63,ElectricPe Charging Station,2-Wheeler," Samathapuri, Kothapet, Hyd",8147060222,Wall socket,Open 24 hours,500060
64,ThunderPlus Charging Station,2-Wheeler,"Arun Nagar, Kapra, Hyd",,,Open 24 hours,500062
65,ThunderPlus Charging Station,"2-Wheeler, 4-Wheeler, 3-Wheeler","SV Nagar, Nagaram, Hyd",4620460046,,Open 24 hours,500062
66,Ather Grid Charging Station,2-Wheeler,"Lal Darwaza South, Lal Darwaza, Hyd",7676600900,_,10:00-21:00,500065
67,Electric Vehicle Charging Station,2-Wheeler," Adarsh Nagar Main Rd, Nagole, Hyd",,,Open 24 hours,500068
68,Tata Charging Station,"2-Wheeler,4-Wheeler","Alkapuri X Roads (LB Nagar, Nagole, Hyd)",18002098282,"CHAdeMO-25 kW
CCS-25 kW",Open 24 hours,500068
69,LionCharge Charging Station,"2-Wheeler,4-Wheeler"," KPHB 5th Phase, Kukatpally, Hyd",8886064848,"Type 2
7.4 kW",Open 24 hours,500072
70,Charge and Drive Charging Station,"2-Wheeler,4-Wheeler"," Kukatpally Main Road, Mumbai Hwy, Hyd",4620460046,_,Open 24 hours,500072
71,Bolt.Earth Charging Station,2-Wheeler," near Icici Atm, Kukatpally Housing Board Colony, Kukatpally, Hyd",_,_,Open 24 hours,500072
72,GO EC Charging Station,"2-Wheeler,4-Wheeler","Balanagar Mandal, Kukatpally Housing Board Colony,Kukatpally, Hyd",8281100520,_,Open 24 hours,500072
73,Ather Grid Charging Station,2-Wheeler," 21st Avenue, LB Nagar  Hyderabad",767660900,,10:00-21:00,500074
74,Charge And Drive Charging Station,2-Wheeler," Hastinapuram, Padmavathi Nagar, Laxmi Narashima Puram Colony",4620460046,_,Open 24 hours,500074
75,Ather Grid Charging Station,"2-Wheeler,3-Wheeler,4-Wheeler"," Nagarjuna Sagar Ring Rd, Sathavahana Nagar, Bairamalguda, Hyd",7676600900,_,10:00-21:00,500074
76,Electric Vehicle Charging Station,3-Wheeler," Rajyalaxmi Nagar, SBH Colony, L. B. Nagar, Hyd",_,_,Open 24 hours,500074
77,Electric Vehicle Charging Station,2-Wheeler," SBH Colony, L. B. Nagar, Hyd",,,Open 24 hours,500074
78,Tata Power Charging Station,"2-Wheeler, 4-Wheeler"," Srinagar Colony, L. B. Nagar, Hyd",,ccs,Open 24 hours,500074
79,Tata Power Charging Station,2-Wheeler,"Srinagar Colony, L. B. Nagar, Hyd",_,CCS,Open 24 hours,500074
80,Powerbank Charging Station,"2-Wheeler, 4-Wheeler","HMT nagar, Nacharam, Hyd",18001205438,css,Open 24 hours,500076
81,Mahindra Charging Station,2-Wheeler,"New Santoshnagar, Santosh Nagar, Champapet, Hyd",_,_,Open 24 hours,500079
82,Charge Zone Charging Station,"2-Wheeler,3-Wheeler,4-Wheeler","opposite Hussain Sagar, Bhagyalaxmi Nagar, Khairtabad, Hyd",18001212025,_,Open 24 hours,500080
83,Charge Zone Charging Station,"2-Wheeler, 4-Wheeler","HITEC City, Madhapur, Hyd",18001212025,,Open 24 hours,500081
84,VOLTRAN Charging Station,"2-Wheeler, 4-Wheeler","Kavuri hills, Madhapur, Hyd",7800174001,,Open 24 hours,500081
85,ElectricPe Charging Station,2-Wheeler,"Kavuri hills, Madhapur, Hyd",81470602222,,Open 24 hours,500081
86,Jio-bp pulse Charging Station,"2-Wheeler, 4-Wheeler","Opposite IKEA, Hyd",18008919032,,6:00-23:00,500081
87,CharzNeT Charging Station,"2-Wheeler, 4-Wheeler","Spacion Towers, Madhapur, Hyd",,,6:00-22:00,500081
88,Bolt.Earth Charging Station,2-Wheeler," Aditya Trade, Kumar Basti, Srinivasa Nagar, Ameerpet, Hyd",8045688448,_,10:30-22:00,500082
89,Tata Power Charging Station,"2-Wheeler,4-Wheeler"," Nishat Bagh Colony, Somajiguda, Hyd",18002098282,"CHAdeMO
- 25 kW
CCS
-25 kW",Open 24 hours,500082
90,Jio-bp Charging Station,"2-Wheeler,4-Wheeler","L&T Mall, Irram Manzil Colony, Punjagutta, Hyd",18008919023,_,6:00-23:00,500082
91,Charge And Drive Charging Station,"2-Wheeler,4-Wheeler","Raj Bhavan Rd,Somajiguda, Hyd2",4620460046,_,Open 24 hours,500082
92,Tata Power Charging Station,"2-Wheeler, 4-Wheeler","Somajiguda,Hyd",18002098282,"css, CHAdeMO",Open 24 hours,500082
93,Bolt.Earth Charging Station,"2-Wheeler,4-Wheeler"," Dharma Reddy Colony Phase II, JNTU college, Hyd",8045688448,_,11:00-21:00,500085
94,Jio-bp pulse Charging Station,"2-Wheeler,4-Wheeler","Kukatpally Housing Board Rd, K P H B Phase 9, Kukatpally, Hyd",18008919023,_,6:00-23:00,500085
95,ElectricPe Charging Station,"2-Wheeler, 4-Wheeler","Balaji nagar, Bandlaguda Jagir, Hyd",8147060222,Wall socket,Open 24 hours,500086
96,ThunderPlus Charging Station,2-Wheeler,"Yapral, Secunderabad, Hyd",9975950100,ccs,Open 24 hours,500087
97,ElectricPe Charging Station,"2-Wheeler, 4-Wheeler","Shiridi sai nagar, Manikonda, Hyd",8147060222,Wall socket,Open 24 hours,500089
98,ThunderPlus Charging Station,"2-Wheeler, 4-Wheeler, 3-Wheeler","Industrial estate, Pragathi nagar, Hyd",,"ccs, Type 2",Open 24 hours,500091
99,ThunderPlus Charging Station,"2-Wheeler, 4-Wheeler, 3-Wheeler","Triveni Nagar, Kanchan Bagh, Hyd",8147060222,,Open 24 hours,500097
100,ThunderPlus Charging Station,"2-Wheeler, 4-Wheeler, 3-Wheeler","Indian oil petrol pump, Bolarum, hyd",4620460046,,Open 24 hours,500100
101,Charge & Drive Charging Station,"2-Wheeler,4-Wheeler"," Miyapur Main Rd,  Hafeezpet",4620460046,_,Open 24 hours,500133
102,ThunderPlus Charging Station,"2-Wheeler, 4-Wheeler, 3-Wheeler","Hafeezpet, madeenaguda, Hyd",4620460046,,Open 24 hours,500133
103,ThunderPlus Charging Station,"2-Wheeler, 4-Wheeler, 3-Wheeler","Government Jr College Rd, Rudra Colony, Hyd",7337555238,,Open 24 hours,501218
104,ThunderPlus Charging Station,"2-Wheeler, 4-Wheeler, 3-Wheeler","Habeeb nagar, Balapur, Hyd",,,Open 24 hours,501359
